iter	Passed	Remaining
802	1339	328
803	1341	327
804	1343	325
805	1345	323
806	1346	322
807	1348	320
808	1349	318
809	1350	316
810	1352	315
811	1354	313
812	1355	311
813	1356	310
814	1358	308
815	1359	306
816	1360	304
817	1361	302
818	1362	301
819	1364	299
820	1365	297
821	1367	296
822	1370	294
823	1371	292
824	1373	291
825	1374	289
826	1376	287
827	1378	286
828	1379	284
829	1381	283
830	1384	281
831	1385	279
832	1386	278
833	1388	276
834	1389	274
835	1390	272
836	1392	271
837	1394	269
838	1395	267
839	1396	266
840	1399	264
841	1400	262
842	1402	261
843	1403	259
844	1404	257
845	1405	255
846	1407	254
847	1408	252
848	1410	250
849	1411	249
850	1413	247
851	1415	245
852	1416	244
853	1418	242
854	1419	240
855	1420	238
856	1422	237
857	1423	235
858	1424	233
859	1426	232
860	1427	230
861	1430	228
862	1431	227
863	1432	225
864	1433	223
865	1435	222
866	1436	220
867	1437	218
868	1438	216
869	1440	215
870	1441	213
871	1443	211
872	1445	210
873	1446	208
874	1448	206
875	1451	205
876	1452	203
877	1454	202
878	1455	200
879	1456	198
880	1458	196
881	1460	195
882	1462	193
883	1463	192
884	1464	190
885	1466	188
886	1467	186
887	1469	185
888	1470	183
889	1471	181
890	1473	180
891	1475	178
892	1477	176
893	1478	175
894	1479	173
895	1481	171
896	1483	170
897	1484	168
898	1485	166
899	1486	165
900	1488	163
901	1490	161
902	1491	160
903	1493	158
904	1494	156
905	1495	155
906	1497	153
907	1498	151
908	1499	150
909	1500	148
910	1502	146
911	1503	145
912	1505	143
913	1507	141
914	1508	140
915	1510	138
916	1511	136
917	1512	135
918	1513	133
919	1514	131
920	1516	130
921	1517	128
922	1518	126
923	1520	125
924	1522	123
925	1523	121
926	1525	120
927	1526	118
928	1527	116
929	1528	115
930	1529	113
931	1530	111
932	1532	110
933	1533	108
934	1535	106
935	1537	105
936	1538	103
937	1540	101
938	1541	100
939	1543	98
940	1545	96
941	1546	95
942	1547	93
943	1549	91
944	1552	90
945	1553	88
946	1555	87
947	1556	85
948	1557	83
949	1559	82
950	1560	80
951	1561	78
952	1563	77
953	1564	75
954	1567	73
955	1569	72
956	1570	70
957	1573	68
958	1575	67
959	1577	65
960	1579	64
961	1581	62
962	1583	60
963	1584	59
964	1586	57
965	1587	55
966	1589	54
967	1590	52
968	1591	50
969	1593	49
970	1594	47
971	1597	46
972	1598	44
973	1600	42
974	1601	41
975	1602	39
976	1603	37
977	1605	36
978	1606	34
979	1608	32
980	1609	31
981	1611	29
982	1613	27
983	1614	26
984	1615	24
985	1616	22
986	1618	21
987	1619	19
988	1620	18
989	1621	16
990	1623	14
991	1625	13
992	1627	11
993	1629	9
994	1631	8
995	1633	6
996	1636	4
997	1639	3
998	1643	1
999	1645	0
